"index","garage_id","user_id","user_type","start_plugin","start_plugin_hour","end_plugout","end_plugout_hour","el_kwh","duration_hours","month_plugin","weekdays_plugin"
"34","UT9","Share-12","Shared","2019-01-12T13:36:00.000","13","2019-01-12T15:32:00.000","15","11.99","1.938611111","Jan","Saturday"
"35","AsO2","Share-4","Shared","2019-01-12T15:29:00.000","15","2019-01-12T18:09:00.000","18","6.56","2.669444444","Jan","Saturday"
"36","UT9","Share-14","Shared","2019-01-12T15:53:00.000","15","2019-01-12T21:21:00.000","21","19","5.477222222","Jan","Saturday"
"37","AdO1","AdO1-2","Private","2019-01-12T18:10:00.000","18","2019-01-13T18:42:00.000","18","6.19","24.53638889","Jan","Saturday"
"38","AdO3","AdO3-2","Private","2019-01-12T21:43:00.000","21","2019-01-13T14:13:00.000","14","16.5","16.50194444","Jan","Saturday"
"39","AsO2","Share-4","Shared","2019-01-13T12:27:00.000","12","2019-01-13T16:16:00.000","16","5.72","3.818055556","Jan","Sunday"
"40","UT9","Share-12","Shared","2019-01-13T13:30:00.000","13","2019-01-13T16:23:00.000","16","14.4","2.879722222","Jan","Sunday"
"41","Bl2","Share-8","Shared","2019-01-13T15:01:00.000","15","2019-01-13T18:20:00.000","18","18.48","3.311944444","Jan","Sunday"
"42","AdO3","AdO3-2","Private","2019-01-13T17:07:00.000","17","2019-01-14T12:53:00.000","12","13.88","19.77722222","Jan","Sunday"
"43","Bl2","Bl2-4","Private","2019-01-14T18:53:00.000","18","2019-01-15T10:06:00.000","10","14.21","15.20972222","Jan","Monday"
"44","UT9","Share-12","Shared","2019-01-14T19:52:00.000","19","2019-01-15T06:37:00.000","6","27.24","10.74611111","Jan","Monday"
"45","AdO1","AdO1-2","Private","2019-01-14T21:05:00.000","21","2019-01-15T13:33:00.000","13","4.09","16.47166667","Jan","Monday"
"46","AdO1","AdO1-2","Private","2019-01-15T15:28:00.000","15","2019-01-15T17:12:00.000","17","3.97","1.730555556","Jan","Tuesday"
"47","AdO3","AdO3-4","Private","2019-01-15T18:39:00.000","18","2019-01-16T08:24:00.000","8","15.47","13.74833333","Jan","Tuesday"
"48","AdO1","AdO1-2","Private","2019-01-15T19:57:00.000","19","2019-01-16T10:15:00.000","10","5.29","14.30305556","Jan","Tuesday"
"49","Bl2","Bl2-2","Shared","2019-01-15T22:41:00.000","22","2019-01-16T07:52:00.000","7","14.61","9.182222222","Jan","Tuesday"
"50","Bl2","Share-8","Shared","2019-01-15T23:32:00.000","23","2019-01-16T11:08:00.000","11","22.31","11.5975","Jan","Tuesday"
"51","AdO1","AdO1-2","Private","2019-01-16T13:44:00.000","13","2019-01-17T17:37:00.000","17","6.2","27.87416667","Jan","Wednesday"
"52","UT9","Share-14","Shared","2019-01-17T11:32:00.000","11","2019-01-17T12:18:00.000","12","2.83","0.773055556","Jan","Thursday"
"53","UT9","Share-14","Shared","2019-01-17T12:51:00.000","12","2019-01-17T13:51:00.000","13","3.67","1.006666667","Jan","Thursday"
"54","AdO3","AdO3-4","Private","2019-01-17T17:39:00.000","17","2019-01-18T15:16:00.000","15","30.2","21.61916667","Jan","Thursday"
"55","AdO1","AdO1-2","Private","2019-01-17T18:56:00.000","18","2019-01-18T18:20:00.000","18","9.25","23.40583333","Jan","Thursday"
"56","Bl2","Share-8","Shared","2019-01-17T22:16:00.000","22","2019-01-18T10:16:00.000","10","25.62","12.01138889","Jan","Thursday"
"57","UT9","Share-14","Shared","2019-01-17T22:48:00.000","22","2019-01-18T05:38:00.000","5","18.29","6.841944444","Jan","Thursday"
"58","AsO2","Share-6","Shared","2019-01-18T02:00:00.000","2","2019-01-18T02:08:00.000","2","0.75","0.1325","Jan","Friday"
"59","UT9","Share-6","Shared","2019-01-18T02:12:00.000","2","2019-01-18T02:30:00.000","2","1.45","0.309722222","Jan","Friday"
"60","Bl2","Bl2-4","Private","2019-01-18T15:39:00.000","15","2019-01-19T10:47:00.000","10","20.53","19.12833333","Jan","Friday"
"61","UT9","Share-6","Shared","2019-01-18T22:33:00.000","22","2019-01-19T01:18:00.000","1","16.71","2.735","Jan","Friday"
"62","Bl2","Share-8","Shared","2019-01-18T23:35:00.000","23","2019-01-19T04:00:00.000","4","13.06","4.411666667","Jan","Friday"
"63","AsO2","Share-4","Shared","2019-01-19T13:07:00.000","13","2019-01-19T16:35:00.000","16","8.79","3.454722222","Jan","Saturday"
"64","UT9","Share-12","Shared","2019-01-19T14:16:00.000","14","2019-01-19T19:47:00.000","19","29.73","5.527222222","Jan","Saturday"
"65","UT9","Share-6","Shared","2019-01-19T22:27:00.000","22","2019-01-20T00:57:00.000","0","14.84","2.502777778","Jan","Saturday"
"66","Bl2","Bl2-2","Shared","2019-01-20T21:21:00.000","21","2019-01-21T10:14:00.000","10","19.43","12.88361111","Jan","Sunday"
"67","UT9","Share-12","Shared","2019-01-21T15:57:00.000","15","2019-01-21T18:40:00.000","18","16.65","2.709166667","Jan","Monday"
"68","AdO1","AdO1-2","Private","2019-01-21T16:27:00.000","16","2019-01-29T11:31:00.000","11","7.99","187.0569444","Jan","Monday"
"69","UT9","Share-12","Shared","2019-01-22T14:36:00.000","14","2019-01-22T18:39:00.000","18","24.36","4.046388889","Jan","Tuesday"
"70","Bl2","Share-8","Shared","2019-01-22T18:52:00.000","18","2019-01-22T23:13:00.000","23","18.47","4.346111111","Jan","Tuesday"
"71","UT9","Share-14","Shared","2019-01-23T11:48:00.000","11","2019-01-23T12:48:00.000","12","2.92","0.9975","Jan","Wednesday"
"72","UT9","Share-12","Shared","2019-01-23T15:57:00.000","15","2019-01-23T20:50:00.000","20","20.48","4.878611111","Jan","Wednesday"
"73","Bl2","Bl2-4","Private","2019-01-23T19:00:00.000","19","2019-01-24T05:17:00.000","5","15.66","10.28333333","Jan","Wednesday"
"74","UT9","Share-14","Shared","2019-01-23T21:43:00.000","21","2019-01-24T04:10:00.000","4","19.25","6.458055556","Jan","Wednesday"
"75","AsO2","Share-4","Shared","2019-01-24T16:33:00.000","16","2019-01-25T00:14:00.000","0","6.9","7.694166667","Jan","Thursday"
"76","Bl2","Share-8","Shared","2019-01-24T22:15:00.000","22","2019-01-25T07:29:00.000","7","18.47","9.231666667","Jan","Thursday"
"77","Bl2","Bl2-2","Shared","2019-01-25T13:29:00.000","13","2019-01-25T14:47:00.000","14","4.39","1.302777778","Jan","Friday"
"78","Bl2","Bl2-1","Private","2019-01-25T15:39:00.000","15","2019-01-25T15:52:00.000","15","0.71","0.204444444","Jan","Friday"
"79","Bl2","Bl2-1","Private","2019-01-25T15:52:00.000","15","2019-01-25T15:52:00.000","15","0.01","0.007777778","Jan","Friday"
"80","Bl2","Bl2-1","Private","2019-01-25T15:52:00.000","15","2019-01-25T16:01:00.000","16","0.47","0.143611111","Jan","Friday"
"81","Bl2","Bl2-1","Private","2019-01-25T16:04:00.000","16","2019-01-25T16:05:00.000","16","0.03","0.013055556","Jan","Friday"
"82","Bl2","Bl2-1","Private","2019-01-25T16:09:00.000","16","2019-01-25T16:50:00.000","16","2.39","0.669722222","Jan","Friday"
"83","AsO2","Share-4","Shared","2019-01-25T16:47:00.000","16","2019-01-25T21:34:00.000","21","7.31","4.7925","Jan","Friday"
"84","Bl2","Bl2-1","Private","2019-01-25T16:50:00.000","16","2019-01-25T16:53:00.000","16","0.09","0.056666667","Jan","Friday"
"85","Bl2","Bl2-1","Private","2019-01-25T16:54:00.000","16","2019-01-25T17:36:00.000","17","2.51","0.7025","Jan","Friday"
"86","UT9","Share-12","Shared","2019-01-25T18:01:00.000","18","2019-01-26T10:34:00.000","10","27.02","16.545","Jan","Friday"
"87","Bl2","Bl2-1","Private","2019-01-25T19:40:00.000","19","2019-01-26T12:58:00.000","12","10.6","17.31055556","Jan","Friday"
"88","Bl2","Bl2-2","Shared","2019-01-25T20:20:00.000","20","2019-01-26T00:22:00.000","0","14.63","4.032777778","Jan","Friday"
"89","AsO2","Share-4","Shared","2019-01-26T09:28:00.000","9","2019-01-26T10:57:00.000","10","2.59","1.481111111","Jan","Saturday"
"90","Bl2","Bl2-2","Shared","2019-01-26T15:27:00.000","15","2019-01-27T09:57:00.000","9","20.57","18.48861111","Jan","Saturday"
"91","Bl2","Bl2-1","Private","2019-01-26T17:34:00.000","17","2019-01-26T17:58:00.000","17","1.4","0.393055556","Jan","Saturday"
"92","Bl2","Bl2-1","Private","2019-01-26T18:47:00.000","18","2019-01-27T04:00:00.000","4","15.46","9.226111111","Jan","Saturday"
"93","Bl2","Share-8","Shared","2019-01-26T19:02:00.000","19","2019-01-27T08:35:00.000","8","19.11","13.55638889","Jan","Saturday"
"94","Bl2","Bl2-1","Private","2019-01-27T04:00:00.000","4","2019-01-27T09:53:00.000","9","0.94","5.880833333","Jan","Sunday"
"95","UT9","Share-12","Shared","2019-01-27T14:08:00.000","14","2019-01-27T18:11:00.000","18","24.05","4.054166667","Jan","Sunday"
"96","UT9","Share-6","Shared","2019-01-27T17:53:00.000","17","2019-01-27T21:53:00.000","21","22.78","4.003611111","Jan","Sunday"
"97","UT9","Share-12","Shared","2019-01-27T18:11:00.000","18","2019-01-27T19:47:00.000","19","1.55","1.5975","Jan","Sunday"
"98","Bl2","Bl2-2","Shared","2019-01-27T19:33:00.000","19","2019-01-28T07:24:00.000","7","16.49","11.85944444","Jan","Sunday"
"99","Bl2","Share-8","Shared","2019-01-27T23:45:00.000","23","2019-01-28T09:55:00.000","9","15.59","10.17111111","Jan","Sunday"
"100","UT9","Share-14","Shared","2019-01-28T11:00:00.000","11","2019-01-28T13:54:00.000","13","10.64","2.9025","Jan","Monday"
"101","Bl2","Bl2-2","Private","2019-01-28T18:37:00.000","18","2019-01-29T11:32:00.000","11","6.99","16.91333333","Jan","Monday"
"102","Bl2","Bl2-1","Private","2019-01-28T19:18:00.000","19","2019-01-28T22:38:00.000","22","9.06","3.336388889","Jan","Monday"
"103","Bl2","Bl2-4","Private","2019-01-29T17:25:00.000","17","2019-01-29T20:27:00.000","20","19.88","3.046111111","Jan","Tuesday"
"104","Bl2","Bl2-1","Private","2019-01-29T19:25:00.000","19","2019-01-29T21:06:00.000","21","5.86","1.672777778","Jan","Tuesday"
"105","Bl2","Bl2-4","Private","2019-01-29T20:27:00.000","20","2019-01-30T08:56:00.000","8","1.14","12.47277778","Jan","Tuesday"
"106","Bl2","Bl2-2","Private","2019-01-30T00:13:00.000","0","2019-01-30T01:00:00.000","1","2.73","0.789444444","Jan","Wednesday"
"107","Bl2","Bl2-1","Private","2019-01-30T07:47:00.000","7","2019-01-30T11:44:00.000","11","11","3.945277778","Jan","Wednesday"
"108","UT9","Share-14","Shared","2019-01-30T09:03:00.000","9","2019-01-30T13:17:00.000","13","15.47","4.231666667","Jan","Wednesday"
"109","Bl2","Bl2-1","Private","2019-01-30T16:47:00.000","16","2019-01-30T20:19:00.000","20","6.9","3.538888889","Jan","Wednesday"
"110","UT9","Share-12","Shared","2019-01-30T19:06:00.000","19","2019-01-31T06:30:00.000","6","31.06","11.39638889","Jan","Wednesday"
"111","UT9","Share-14","Shared","2019-01-31T09:23:00.000","9","2019-01-31T11:47:00.000","11","8.82","2.388055556","Jan","Thursday"
"112","AsO2","Share-4","Shared","2019-01-31T13:04:00.000","13","2019-01-31T15:03:00.000","15","3.24","1.971111111","Jan","Thursday"
"113","UT9","Share-6","Shared","2019-01-31T13:49:00.000","13","2019-01-31T17:34:00.000","17","20.18","3.74","Jan","Thursday"
"114","Bl2","Bl2-2","Private","2019-01-31T15:20:00.000","15","2019-01-31T18:03:00.000","18","9.52","2.718055556","Jan","Thursday"
"115","UT9","Share-14","Shared","2019-01-31T15:41:00.000","15","2019-01-31T17:53:00.000","17","8.05","2.191666667","Jan","Thursday"
"116","Bl2","Share-8","Shared","2019-01-31T16:25:00.000","16","2019-01-31T18:27:00.000","18","12.37","2.030277778","Jan","Thursday"
"117","AsO2","AsO2-1","Private","2019-01-31T18:34:00.000","18","2019-02-01T07:04:00.000","7","7.2","12.50194444","Jan","Thursday"
"118","UT9","Share-14","Shared","2019-01-31T20:14:00.000","20","2019-02-01T07:33:00.000","7","18.81","11.31111111","Jan","Thursday"
"119","Bl2","Bl2-2","Private","2019-01-31T20:34:00.000","20","2019-01-31T21:23:00.000","21","2.51","0.813055556","Jan","Thursday"
"120","Bl2","Bl2-1","Private","2019-02-01T15:45:00.000","15","2019-02-01T18:06:00.000","18","8.43","2.354444444","Feb","Friday"
"121","UT9","Share-14","Shared","2019-02-01T16:20:00.000","16","2019-02-01T20:00:00.000","20","13.48","3.663611111","Feb","Friday"
"122","AsO2","Share-4","Shared","2019-02-01T16:38:00.000","16","2019-02-01T17:29:00.000","17","2.7","0.850277778","Feb","Friday"
"123","Bl2","Bl2-2","Shared","2019-02-01T18:09:00.000","18","2019-02-01T19:45:00.000","19","5.65","1.584444444","Feb","Friday"
"124","Bl2","Bl2-1","Private","2019-02-01T18:41:00.000","18","2019-02-02T11:49:00.000","11","7.95","17.13111111","Feb","Friday"
"125","AdO3","AdO3-2","Private","2019-02-01T22:22:00.000","22","2019-02-02T12:56:00.000","12","11.78","14.57277778","Feb","Friday"
"126","AsO2","Share-4","Shared","2019-02-02T09:03:00.000","9","2019-02-02T14:26:00.000","14","6.1","5.377222222","Feb","Saturday"
"127","UT9","Share-12","Shared","2019-02-02T17:47:00.000","17","2019-02-03T08:31:00.000","8","26.88","14.73277778","Feb","Saturday"
"128","AsO2","AsO2-1","Private","2019-02-02T18:12:00.000","18","2019-02-02T21:45:00.000","21","12.68","3.548055556","Feb","Saturday"
"129","Bl2","Share-8","Shared","2019-02-03T00:41:00.000","0","2019-02-03T09:52:00.000","9","20.36","9.1925","Feb","Sunday"
"130","Bl2","Bl2-2","Shared","2019-02-03T16:58:00.000","16","2019-02-03T18:46:00.000","18","6.5","1.8025","Feb","Sunday"
"131","Bl2","Bl2-2","Private","2019-02-03T19:13:00.000","19","2019-02-03T20:28:00.000","20","4.44","1.243888889","Feb","Sunday"
"132","Bl2","Bl2-2","Private","2019-02-03T21:25:00.000","21","2019-02-04T08:12:00.000","8","8.63","10.79305556","Feb","Sunday"
"133","Bl2","Share-8","Shared","2019-02-04T16:00:00.000","16","2019-02-14T15:14:00.000","15","24.78","239.2402778","Feb","Monday"
"134","Bl2","Bl2-5","Private","2019-02-04T17:37:00.000","17","2019-02-04T20:18:00.000","20","9.62","2.690555556","Feb","Monday"
"135","Bl2","Bl2-1","Private","2019-02-04T18:12:00.000","18","2019-02-14T15:14:00.000","15","12.31","237.0333333","Feb","Monday"
"136","AsO2","Share-4","Shared","2019-02-04T18:30:00.000","18","2019-02-04T20:03:00.000","20","5.33","1.556111111","Feb","Monday"
"137","Bl2","Bl2-6","Private","2019-02-04T20:12:00.000","20","2019-02-14T15:13:00.000","15","5.03","235.0202778","Feb","Monday"
"138","UT9","Share-14","Shared","2019-02-04T22:35:00.000","22","2019-02-05T05:17:00.000","5","17.91","6.695833333","Feb","Monday"
"139","AsO2","Share-4","Shared","2019-02-05T17:05:00.000","17","2019-02-05T18:15:00.000","18","3.94","1.159444444","Feb","Tuesday"
"140","AsO2","AsO2-1","Private","2019-02-05T17:21:00.000","17","2019-02-06T07:26:00.000","7","16.56","14.08527778","Feb","Tuesday"
"141","AsO2","AsO2-1","Private","2019-02-06T19:47:00.000","19","2019-02-07T06:28:00.000","6","14.65","10.67444444","Feb","Wednesday"
"142","UT9","Share-12","Shared","2019-02-07T11:30:00.000","11","2019-02-07T16:19:00.000","16","28.39","4.821944444","Feb","Thursday"
"143","AsO2","Share-4","Shared","2019-02-08T16:58:00.000","16","2019-02-08T19:49:00.000","19","0.27","2.848055556","Feb","Friday"
"144","AsO2","Share-4","Shared","2019-02-08T21:31:00.000","21","2019-02-09T09:55:00.000","9","6.88","12.40555556","Feb","Friday"
"145","AsO2","Share-4","Shared","2019-02-09T14:54:00.000","14","2019-02-10T09:28:00.000","9","6.44","18.56527778","Feb","Saturday"
"146","UT9","Share-12","Shared","2019-02-09T15:11:00.000","15","2019-02-10T03:00:00.000","3","28.55","11.82","Feb","Saturday"
"147","AsO2","AsO2-1","Private","2019-02-10T15:42:00.000","15","2019-02-10T22:17:00.000","22","12.18","6.581111111","Feb","Sunday"
"148","AsO2","AsO2-1","Private","2019-02-11T16:11:00.000","16","2019-02-12T11:29:00.000","11","12.78","19.29027778","Feb","Monday"
"149","UT9","Share-12","Shared","2019-02-11T20:47:00.000","20","2019-02-12T07:40:00.000","7","26.67","10.87916667","Feb","Monday"
"150","AsO2","AsO2-1","Private","2019-02-12T16:49:00.000","16","2019-02-12T22:01:00.000","22","14.42","5.199444444","Feb","Tuesday"
"151","AsO2","AsO2-1","Private","2019-02-13T18:20:00.000","18","2019-02-14T07:14:00.000","7","14.38","12.89083333","Feb","Wednesday"
"152","UT9","Share-14","Shared","2019-02-13T22:55:00.000","22","2019-02-13T22:56:00.000","22","0.01","0.010833333","Feb","Wednesday"
"153","UT9","Share-14","Shared","2019-02-13T22:56:00.000","22","2019-02-14T06:57:00.000","6","16.82","8.015555556","Feb","Wednesday"
"154","UT9","Share-12","Shared","2019-02-14T16:07:00.000","16","2019-02-14T17:40:00.000","17","9.53","1.559722222","Feb","Thursday"
"155","AsO2","AsO2-1","Private","2019-02-14T16:45:00.000","16","2019-02-15T02:30:00.000","2","10.94","9.746111111","Feb","Thursday"
"156","UT9","Share-12","Shared","2019-02-14T17:40:00.000","17","2019-02-14T21:29:00.000","21","21.42","3.805","Feb","Thursday"
"157","Bl2","Bl2-2","Private","2019-02-14T19:17:00.000","19","2019-02-15T09:32:00.000","9","13.8","14.25305556","Feb","Thursday"
"158","Bl2","Share-8","Shared","2019-02-15T09:30:00.000","9","2019-02-15T10:14:00.000","10","4.41","0.730555556","Feb","Friday"
"159","AdO1","AdO1-2","Private","2019-02-15T13:20:00.000","13","2019-02-16T15:48:00.000","15","4.93","26.45611111","Feb","Friday"
"160","Bl2","Bl2-6","Private","2019-02-15T15:03:00.000","15","2019-02-16T10:28:00.000","10","10.21","19.41722222","Feb","Friday"
"161","Bl2","Bl2-5","Private","2019-02-15T15:48:00.000","15","2019-02-15T16:18:00.000","16","1.82","0.515555556","Feb","Friday"
"162","Bl2","Bl2-1","Private","2019-02-15T15:54:00.000","15","2019-02-16T13:19:00.000","13","10.16","21.42555556","Feb","Friday"
"163","Bl2","Bl2-5","Private","2019-02-15T16:56:00.000","16","2019-02-16T11:52:00.000","11","8.45","18.94666667","Feb","Friday"
"164","AdO3","AdO3-2","Private","2019-02-15T17:36:00.000","17","2019-02-16T13:42:00.000","13","7.45","20.09694444","Feb","Friday"
"165","AdO1","AdO1-1","Private","2019-02-15T19:04:00.000","19","2019-02-16T06:31:00.000","6","20.58","11.46055556","Feb","Friday"
"166","Bl2","Bl2-4","Private","2019-02-15T19:28:00.000","19","2019-02-16T14:37:00.000","14","14.29","19.14472222","Feb","Friday"
"167","UT9","Share-12","Shared","2019-02-15T19:31:00.000","19","2019-02-15T22:40:00.000","22","17.66","3.146944444","Feb","Friday"
"168","Bl2","Share-8","Shared","2019-02-15T23:43:00.000","23","2019-02-16T08:15:00.000","8","16.96","8.542777778","Feb","Friday"
"169","Bl2","Bl2-6","Private","2019-02-16T12:31:00.000","12","2019-02-17T21:57:00.000","21","13.83","33.43833333","Feb","Saturday"
"170","AdO3","AdO3-2","Private","2019-02-16T16:21:00.000","16","2019-02-16T23:08:00.000","23","11.87","6.783055556","Feb","Saturday"
"171","AdO3","AdO3-3","Private","2019-02-16T17:38:00.000","17","2019-02-16T17:39:00.000","17","0.03","0.016111111","Feb","Saturday"
"172","AdO3","AdO3-3","Private","2019-02-16T17:41:00.000","17","2019-02-16T17:51:00.000","17","0.61","0.177222222","Feb","Saturday"
"173","AsO2","AsO2-1","Private","2019-02-16T22:54:00.000","22","2019-02-18T08:18:00.000","8","18.56","33.39833333","Feb","Saturday"
"174","Bl2","Bl2-5","Private","2019-02-16T22:57:00.000","22","2019-02-17T10:19:00.000","10","13.21","11.36861111","Feb","Saturday"
"175","AdO1","AdO1-1","Private","2019-02-16T23:47:00.000","23","2019-02-17T12:34:00.000","12","16.92","12.77416667","Feb","Saturday"
"176","AdO3","AdO3-2","Private","2019-02-17T01:11:00.000","1","2019-02-17T15:51:00.000","15","15.03","14.66083333","Feb","Sunday"
"177","Bl2","Bl2-5","Private","2019-02-17T13:41:00.000","13","2019-02-17T15:53:00.000","15","3.94","2.194722222","Feb","Sunday"
"178","AsO2","Share-4","Shared","2019-02-17T13:53:00.000","13","2019-02-17T16:56:00.000","16","6.91","3.053333333","Feb","Sunday"
"179","Bl2","Bl2-2","Private","2019-02-17T14:15:00.000","14","2019-02-17T16:04:00.000","16","6.55","1.824166667","Feb","Sunday"
"180","Bl2","Bl2-1","Private","2019-02-17T14:19:00.000","14","2019-02-18T08:57:00.000","8","7.93","18.6325","Feb","Sunday"
"181","AdO1","AdO1-2","Private","2019-02-17T14:27:00.000","14","2019-02-17T21:05:00.000","21","7.88","6.640555556","Feb","Sunday"
"182","AdO1","AdO1-1","Private","2019-02-17T15:19:00.000","15","2019-02-17T21:31:00.000","21","8.46","6.203611111","Feb","Sunday"
"183","UT9","Share-6","Shared","2019-02-17T17:34:00.000","17","2019-02-17T20:00:00.000","20","14.27","2.438333333","Feb","Sunday"
"184","Bl2","Bl2-2","Private","2019-02-17T19:12:00.000","19","2019-02-17T21:28:00.000","21","8.15","2.263611111","Feb","Sunday"
"185","Bl2","Bl2-2","Private","2019-02-17T21:29:00.000","21","2019-02-17T21:30:00.000","21","0.02","0.013333333","Feb","Sunday"
"186","Bl2","Bl2-2","Private","2019-02-17T22:17:00.000","22","2019-02-18T08:50:00.000","8","11.43","10.55055556","Feb","Sunday"
"187","Bl2","Bl2-5","Private","2019-02-17T22:58:00.000","22","2019-02-18T07:45:00.000","7","11.3","8.777777778","Feb","Sunday"
"188","UT9","Share-14","Shared","2019-02-18T10:20:00.000","10","2019-02-18T13:31:00.000","13","11.79","3.176388889","Feb","Monday"
"189","Bl2","Bl2-5","Private","2019-02-18T16:27:00.000","16","2019-02-19T07:54:00.000","7","8.95","15.45861111","Feb","Monday"
"190","UT9","Share-12","Shared","2019-02-18T17:47:00.000","17","2019-02-18T22:34:00.000","22","26.81","4.775555556","Feb","Monday"
"191","Bl2","Bl2-6","Private","2019-02-18T20:26:00.000","20","2019-02-19T07:57:00.000","7","13.21","11.51472222","Feb","Monday"
"192","AdO3","AdO3-3","Private","2019-02-18T23:32:00.000","23","2019-02-19T14:58:00.000","14","15.7","15.4475","Feb","Monday"
"193","Bl2","Bl2-1","Private","2019-02-19T07:45:00.000","7","2019-02-19T09:01:00.000","9","4.52","1.261944444","Feb","Tuesday"
